name_fielder,position,start_dist_st_R,start_ang_st_R,start_dist_sh_R,start_ang_sh_R,start_dist_st_L,start_ang_st_L,start_dist_sh_L,start_ang_sh_L
montescoco,2B,153.0,8.0,153.72596153846155,3.121794871794872,149.0,19.0,147.0,22.0
mooredylan,1B,117.0,29.0,111.71960784313724,28.4078431372549,123.0,38.0,126.0,38.0
mooredylan,2B,153.0,5.0,153.5,3.0,146.5,20.0,147.0,20.0
mooredylan,3B,122.0,-35.0,123.0,-36.0,112.0,-26.0,141.0,-22.0
mooredylan,CF,322.0,2.0,323.3076923076923,0.5865384615384616,321.196875,-2.0776041666666667,323.5921052631579,-1.361842105263158
mooredylan,LF,297.5,-25.5,300.5,-24.5,284.5,-28.5,285.5,-28.0
mooredylan,RF,278.0,27.0,292.3405172413793,27.46120689655172,299.9954545454545,25.76666666666667,301.07402707275804,26.316412859560067
mooredylan,SS,148.5,-17.5,148.5,-18.0,152.0,-4.0,153.0,-3.0
morelchristopher,2B,153.0,5.0,154.0,2.0,148.5,19.5,147.5,21.0
morelchristopher,3B,120.5,-36.0,120.0,-37.0,113.5,-26.0,131.0,-22.0
morelchristopher,CF,330.0,3.0,323.3076923076923,0.5865384615384616,328.0,0.0,331.0,0.0
morelchristopher,LF,308.0,-27.0,307.0,-27.0,291.0,-28.0,296.0,-27.0
morelchristopher,RF,287.0,28.0,292.3405172413793,27.46120689655172,305.0,27.0,303.0,30.0
mottertaylor,2B,152.0,5.0,153.72596153846155,3.121794871794872,147.0,20.0,148.0,21.0
mottertaylor,3B,126.0,-34.0,127.0,-35.0,117.0,-27.0,139.0,-21.0
mottertaylor,SS,148.0,-19.0,147.2686274509804,-20.26078431372549,152.54887218045113,-6.215538847117794,153.35215053763443,-3.888440860215054
mountcastleryan,1B,117.0,32.0,118.0,31.5,124.0,38.0,125.0,38.0
moustakasmike,1B,118.5,29.5,111.71960784313724,28.4078431372549,124.0,38.0,126.5,39.5
moustakasmike,3B,120.0,-35.5,118.0,-35.0,111.0,-26.5,128.5,-22.5
mullinscedric,CF,323.0,3.0,325.0,2.5,321.0,-3.0,324.5,-2.0
muncymax,3B,122.5,-36.5,123.0,-37.0,115.0,-26.0,134.0,-23.0
myersdane,CF,321.0,0.5,317.0,-0.5,318.0,-3.0,321.5,-2.0
myersdane,LF,293.0,-28.0,302.5125,-26.669444444444444,285.0,-31.0,292.11885521885523,-28.30252525252525
myersdane,RF,296.0,27.0,289.0,26.0,298.0,25.0,302.0,25.0
myerswil,1B,110.0,32.0,111.71960784313724,28.4078431372549,117.0,37.0,117.0,38.0
myerswil,RF,294.0,29.0,296.0,28.0,300.0,24.0,301.0,25.0
naquintyler,LF,289.0,-29.0,302.5125,-26.669444444444444,285.0,-29.0,292.11885521885523,-28.30252525252525
naylorjosh,1B,113.5,30.0,113.0,29.0,123.0,38.0,124.5,38.0
netozach,SS,149.0,-18.5,148.0,-21.0,153.5,-6.0,154.0,-3.0
nevintyler,1B,112.0,30.5,115.0,30.0,122.5,38.5,123.5,39.0
nevintyler,3B,119.5,-36.0,121.58928571428572,-37.36607142857143,104.5,-26.5,130.5,-22.0
nevintyler,LF,303.0,-25.5,301.0,-29.0,286.0,-28.0,286.0,-28.0
nevintyler,RF,295.0,27.0,292.3405172413793,27.46120689655172,294.0,26.0,299.0,27.0
newmankevin,1B,113.5,31.5,111.71960784313724,28.4078431372549,117.0,35.0,118.5,36.0
newmankevin,2B,152.5,8.0,153.0,3.0,148.5,18.5,147.5,20.0
newmankevin,3B,121.0,-35.5,121.0,-38.0,125.0,-26.0,135.0,-22.0
newmankevin,SS,148.0,-18.5,146.0,-21.5,152.0,-7.5,153.0,-4.5
nimmobrandon,CF,324.0,1.5,324.0,-1.0,322.5,-1.5,324.5,-1.5
nimmobrandon,LF,300.0,-26.0,302.5125,-26.669444444444444,291.5,-28.5,292.5,-28.5
nodaryan,1B,117.0,29.5,111.71960784313724,28.4078431372549,120.5,37.5,120.5,38.5
nodaryan,RF,292.0,28.0,292.3405172413793,27.46120689655172,299.9954545454545,25.76666666666667,301.07402707275804,26.316412859560067
